WALLET_ADDRESS,UNIQUE_TOKENS,TOTAL_PNL,TOTAL_TRADES,PNL_CATEGORY,TOKEN_COUNT_CATEGORY
2PU9ooT6REU6MzA5B7V8NafyXf3DTmz2jTWwt1qRCAVg,1,-2.417278674,1,MEDIUM LOSS (-5 to -1 SOL),VERY LOW (≤10)
BgoyXgf4jG7S3DxWv5xfLEzdB2m6c1rx42SB14PE3dTA,1,-0.001358693,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6TNqK6vJ1jSX93Wrhxef9rKSbaDNd3HuVgNRbdEeHAWL,1,-0.384746604,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
AiyYjBBUfNhVMdiz6yoBJNwQ1ye7HJSVTYhEc1rwztbK,1,-0.007019973,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
AJndoxr37FJQP31ZsXmq1QsYrPdhFJGgHgn4cDvCNUGu,1,-2.600000004e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
Fisy3Z2JEKc9H7iNxrWVMgVADRwbS2Hc8KGEVG8KkoYF,1,-0.168685349,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
4CHn2sJfp9jN9q2687Gc7QXw5rPmGJ8U7d8Hb9FRNETV,1,-1.700000005e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
Ex3T3LAUMDgi9GaZz1S5wMzK1Noood5Q5JsZYXmRw4Bt,1,-0.060514808,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
DnaaL2s6tvvESfZzxfvybdAMnBKj9SdxXpiMEZ7VoHCd,1,-2.069999994e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
hAVCrQTpfwm7c3LuBdW8Ar6q6UvXyFUzStidKbZs1zc,1,-0.119809118,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
FG5nAVvuFkNFzguxvYaC94oTjwoefQmYBScki3MHyUpc,1,-4.649999994e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
7aqRWv6u35P1PwuJJgCGdoKEgnghgAq8aFbmnBr1THXy,1,-0.257884023,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
AEuED2m4e9WdB2Ertth1o4TxsQwHHEnFvbtZuwtLyAYE,1,-0.473559703,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
6LpkAiJzm9MrH7bv9zcA7GtHaM8P3AfMSKrQhykvHCaG,1,-0.003221202,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
EpKrAcdyAyaCTy5mRKavLnDmrKuLpDFY7t5Ut3MzGUFp,1,1.369796082,1,MEDIUM PROFIT (1 to 5 SOL),VERY LOW (≤10)
BpyFKP1vw1iDLfsHQ1wrCC6zozqLaNiZnoMfjFbub6nS,1,-1.509999998e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
5tH5SzHKkvjhEF49kDbZ98LttbZUdmemm5a78qUHTNvY,1,-1.31e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
97mTyY49V6VGDw8jJ19J1BUxiMsJRbcUWBvKb4azAiLw,1,-0.431683148,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
DEhw6Zcne4qR8TNCopAEwwFGeaaGD6o3rEkocp7Kcmey,1,-0.252488056,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
