IS_CHURNED,PNL_CATEGORY,WALLET_COUNT,PERCENTAGE,AVG_PNL_IN_GROUP,MEDIAN_PNL_IN_GROUP
false,EXTREME LOSS (< -10 SOL),449,14.24,-94.6909,-28.4244
false,LARGE LOSS (-10 to -5 SOL),200,6.34,-7.0169,-6.9107
false,MEDIUM LOSS (-5 to -1 SOL),633,20.07,-2.3896,-2.1287
false,SMALL LOSS (-1 to -0.1 SOL),546,17.31,-0.4614,-0.4352
false,MINIMAL LOSS (-0.1 to 0 SOL),662,20.99,-0.0204,-0.003
false,MINIMAL PROFIT (0 to 0.1 SOL),354,11.22,0.0108,0.0004
false,SMALL PROFIT (0.1 to 1 SOL),94,2.98,0.4061,0.3894
false,MEDIUM PROFIT (1 to 5 SOL),91,2.89,2.5065,2.2417
false,LARGE PROFIT (5 to 10 SOL),39,1.24,7.2456,6.8212
false,EXTREME PROFIT (> 10 SOL),86,2.73,88.1577,29.134
true,EXTREME LOSS (< -10 SOL),296,4.32,-56.2924,-20.5346
true,LARGE LOSS (-10 to -5 SOL),213,3.11,-6.806,-6.48
true,MEDIUM LOSS (-5 to -1 SOL),1143,16.7,-2.1919,-1.9093
true,SMALL LOSS (-1 to -0.1 SOL),2280,33.3,-0.3995,-0.3572
true,MINIMAL LOSS (-0.1 to 0 SOL),1363,19.91,-0.0234,-0.0042
true,BREAK EVEN,1,0.01,0,0
true,MINIMAL PROFIT (0 to 0.1 SOL),343,5.01,0.0278,0.0172
true,SMALL PROFIT (0.1 to 1 SOL),488,7.13,0.4635,0.4343
true,MEDIUM PROFIT (1 to 5 SOL),488,7.13,2.3179,2.1537
true,LARGE PROFIT (5 to 10 SOL),108,1.58,6.953,6.7056
true,EXTREME PROFIT (> 10 SOL),123,1.8,33.5515,19.0067
﻿
