IS_CHURNED,PNL_CATEGORY,WALLET_COUNT,PERCENTAGE,AVG_PNL_IN_GROUP,MEDIAN_PNL_IN_GROUP
false,EXTREME LOSS (Bottom 1%),70,2.32,-275.5904,-188.0586
false,SEVERE LOSS (P1-P5),294,9.74,-36.7283,-30.2113
false,LARGE LOSS (P5-P10),258,8.55,-9.564,-9.2627
false,MEDIUM LOSS (P10-P25),488,16.18,-2.8971,-2.628
false,SMALL LOSS (P25-P50),1258,41.7,-0.2911,-0.0893
false,SMALL PROFIT (P50-P90),457,15.15,0.0975,0.0007
false,MEDIUM PROFIT (P90-P95),54,1.79,2.0016,1.914
false,LARGE PROFIT (P95-P99),107,3.55,11.3447,8.9492
false,EXTREME PROFIT (Top 1%),31,1.03,137.2879,85.7232
true,EXTREME LOSS (Bottom 1%),30,0.43,-368.4475,-218.6301
true,SEVERE LOSS (P1-P5),180,2.58,-32.525,-27.9952
true,LARGE LOSS (P5-P10),247,3.54,-9.371,-8.6679
true,MEDIUM LOSS (P10-P25),974,13.95,-2.6787,-2.3051
true,SMALL LOSS (P25-P50),3960,56.71,-0.3241,-0.2236
true,SMALL PROFIT (P50-P90),855,12.24,0.2846,0.1651
true,MEDIUM PROFIT (P90-P95),410,5.87,1.9431,1.8794
true,LARGE PROFIT (P95-P99),283,4.05,10.3965,7.1087
true,EXTREME PROFIT (Top 1%),44,0.63,91.6457,54.6068
﻿
