USER_GROUP,TOTAL_PNL,WALLET_COUNT
active,-96.941382952,1
active,-96.169029796,1
active,-95.219368408,1
active,-93.946189904,1
active,-93.312886352,1
active,-93.121442458,1
active,-93.003825904,1
active,-92.668425961,1
active,-89.478228783,1
active,-87.99501123,1
active,-87.983269542,1
active,-87.924312016,1
active,-86.902155621,1
active,-85.986706226,1
active,-84.324438514,1
active,-83.363038116,1
active,-82.785276813,1
active,-79.237006394,1
active,-78.64413957,1
active,-77.606557984,1
active,-77.354318802,1
active,-76.83135131,1
active,-76.425910717,1
active,-76.380702012,1
active,-75.598439854,1
active,-75.557997647,1
active,-74.872485913,1
active,-74.737777492,1
active,-74.560390096,1
active,-73.753835088,1
active,-72.751707216,1
active,-72.656147515,1
active,-72.360744578,1
active,-70.223979455,1
active,-69.682335984,1
active,-69.514782123,1
active,-69.343944335,1
active,-68.288835404,1
active,-65.013686486,1
active,-64.792038051,1
active,-64.060151516,1
active,-63.973334955,1
active,-63.281109696,1
active,-62.996785529,1
active,-62.156393171,1
active,-61.204429066,1
active,-60.498142015,1
active,-60.371741365,1
active,-60.304377155,1
active,-59.380014802,1
active,-59.109100743,1
active,-58.390416311,1
active,-57.247978551,1
active,-56.85846567,1
active,-56.426236214,1
active,-56.249754186,1
active,-55.089964116,1
active,-54.767783626,1
active,-54.164416259,1
active,-53.299045051,1
active,-52.960947296,1
active,-52.636123091,1
active,-52.379372204,1
active,-51.498055824,1
active,-50.581104946,1
active,-50.09330222,1
active,-49.745527992,1
active,-49.126826405,1
active,-48.12297885,1
active,-47.963865119,1
active,-47.916797386,1
active,-47.771537045,1
active,-47.408769,1
active,-46.756489317,1
active,-46.666579642,1
active,-46.457890958,1
active,-46.259773367,1
active,-46.186094186,1
active,-45.613131082,1
active,-45.440841971,1
active,-45.123796033,1
active,-44.505026939,1
active,-43.983988307,1
active,-43.745931681,1
active,-43.743216364,1
active,-43.007962425,1
active,-42.227059878,1
active,-41.73655538,1
active,-41.503437071,1
active,-41.436740864,1
active,-41.324644337,1
active,-40.996548164,1
active,-40.833186448,1
active,-40.3475232,1
active,-40.031880168,1
active,-39.609678078,1
active,-39.443911285,1
active,-39.361402974,1
active,-39.255031338,1
active,-38.874968502,1
active,-38.15037614,1
active,-37.955433959,1
active,-37.918998881,1
active,-37.639215141,1
active,-37.311370839,1
active,-37.273385549,1
active,-37.196359731,1
active,-37.089554931,1
active,-37.01229532,1
active,-36.830537398,1
active,-36.810152858,1
active,-36.540808034,1
active,-36.399224003,1
active,-36.340661142,1
active,-36.278071161,1
active,-36.248289733,1
active,-36.089980136,1
active,-36.088511624,1
active,-35.57123701,1
active,-35.489671009,1
active,-35.111221129,1
active,-35.014197442,1
active,-34.970463003,1
active,-34.797799872,1
active,-34.794097035,1
active,-34.737991446,1
active,-34.622690569,1
active,-34.071550642,1
active,-33.917184685,1
active,-33.847616181,1
active,-31.734019982,1
active,-31.622357878,1
active,-31.586893312,1
active,-31.491402941,1
active,-31.476692898,1
active,-31.171690913,1
active,-30.86836195,1
active,-30.859155316,1
active,-30.713338878,1
active,-30.666818183,1
active,-30.608160244,1
active,-30.488021647,1
active,-30.428511774,1
active,-30.218137758,1
active,-29.943596727,1
active,-29.708425064,1
active,-29.383384192,1
active,-29.333382347,1
active,-29.260954582,1
active,-28.978762939,1
active,-28.613962617,1
active,-28.610221639,1
active,-28.451185767,1
active,-28.252951254,1
active,-28.14057738,1
active,-27.991424449,1
active,-27.806031974,1
active,-27.613847991,1
active,-27.555254937,1
active,-27.417669588,1
active,-27.369027746,1
active,-27.24095511,1
active,-27.096118037,1
active,-26.835679434,1
active,-26.647952233,1
active,-26.525211519,1
active,-26.325880342,1
active,-26.173223224,1
active,-25.602375974,1
active,-25.431496939,1
active,-25.232457024,1
active,-25.135366726,1
active,-24.965641355,1
active,-24.963521221,1
active,-24.805676967,1
active,-24.805658117,1
active,-24.391209037,1
active,-24.247400964,1
active,-24.108830413,1
active,-24.002798676,1
active,-23.970775328,1
active,-23.960377178,1
active,-23.786916594,1
active,-23.750924501,1
active,-23.742260036,1
active,-23.515817292,1
active,-23.453154917,1
active,-23.359234089,1
active,-22.539019641,1
active,-22.406975821,1
active,-22.353263141,1
active,-22.313428474,1
active,-22.15951017,1
active,-22.025499984,1
active,-21.898421965,1
active,-21.836861631,1
active,-21.8226702,1
active,-21.773813662,1
active,-21.500391166,1
active,-21.362106232,1
active,-21.35717712,1
active,-21.295761114,1
active,-21.177277516,1
active,-21.138373733,1
active,-21.080951012,1
active,-21.066750667,1
active,-20.92356013,1
active,-20.794863477,1
active,-20.780510838,1
active,-20.685375423,1
active,-20.493903804,1
active,-20.491386335,1
active,-20.332177326,1
active,-20.230586509,1
active,-20.181284132,1
active,-20.105650113,1
active,-19.821317636,1
active,-19.735258417,1
active,-19.714230205,1
active,-19.555492613,1
active,-19.485658981,1
active,-19.474633568,1
active,-19.438964173,1
active,-19.438371671,1
active,-19.271891889,1
active,-19.224840516,1
active,-19.201239484,1
active,-19.174932685,1
active,-19.023719268,1
active,-18.83686559,1
active,-18.631200258,1
active,-18.591488816,1
active,-18.340615323,1
active,-18.240542277,1
active,-18.233221801,1
active,-18.161229415,1
active,-18.003022045,1
active,-17.992045858,1
active,-17.990358776,1
active,-17.730033392,1
active,-17.693037859,1
active,-17.65095963,1
active,-17.640320458,1
active,-17.60946968,1
active,-17.529849162,1
active,-17.166876918,1
active,-17.037315013,1
active,-16.854366487,1
active,-16.791704418,1
active,-16.669496383,1
active,-16.443267177,1
active,-16.367326774,1
active,-16.256634968,1
active,-16.170980036,1
active,-16.123077337,1
active,-16.057398883,1
active,-15.977305237,1
