IS_CHURNED,WIN_RATE_CATEGORY,WALLET_COUNT,PERCENTAGE
false,0-10%,492,15.94
false,10-20%,558,18.08
false,20-30%,677,21.93
false,30-40%,639,20.7
false,40-50%,366,11.86
false,50-60%,193,6.25
false,60-70%,75,2.43
false,70-80%,29,0.94
false,80-90%,16,0.52
false,90-100%,42,1.36
true,0-10%,2404,34.78
true,10-20%,751,10.86
true,20-30%,1209,17.49
true,30-40%,997,14.42
true,40-50%,503,7.28
true,50-60%,376,5.44
true,60-70%,212,3.07
true,70-80%,97,1.4
true,80-90%,90,1.3
true,90-100%,274,3.96
﻿
