SWAPPER,UNIQUE_TOKENS_TRADED,AVERAGE_ROI,EXPECTED_ROI,WALLET_STATUS
AVhW1z2mnvmYNFyao2WGa5zZ8GxpJ3ZsC6TiNxMNqEfG,4,8.623895846,8.623895846,ACTIVE
BDMeRPkb8b1SpF6XYiKg24ewdtmV7QKKXJxRJPqKzDjs,2,1.08690549,1.08690549,CHURNED
E3Y3RupBFSzoCK7v4y8PMJPr2EggUdq14uQEquuCjP1t,7,1.080888784,1.080887704,CHURNED
Ck2nGGW3QMeMgjv5yCzgKksGsVRJxAFCNiUTAQhHs7Vb,3,1.061951422,1.06195036,ACTIVE
Fxu4KqvCep2t9tstU9E3UPF81FezwEobPnd2ajsPnWXa,2,1.016276758,1.016276758,CHURNED
9tTyaef17EsYdn6JrurWnE8hraK2otbhUREUsARH5Kzd,2,0.9730894039,0.9730894039,CHURNED
JBcv9uUEfb6j9rZSFv4U9K3hfx48Ss8RdZ4tdwb3Nc4Y,19,0.7418475045,0.7418538338,CHURNED
Epu8JN7uAKgYivugzvxnPJXjBYs79SGemuXGgiW86ruZ,11,0.5848351063,0.5848345214,CHURNED
4LbGbFQ4WUbVFDS6mownS2fmKEoLQuJyHuEi1iKyorT5,6,0.5422642252,0.5422642086,CHURNED
E8NBaMorqK2YQsWf575ihsAfENRNQDAuXsLz6pXoDiRA,4,0.5145418726,0.5145418726,CHURNED
BawJWsEqKz4mCzjFTeQWJMqjPjmnC9wrX3BPmYgQK3o6,5,0.507758621,0.507758621,CHURNED
2B9t5odqsCi1ASY5SufsiV76zKkDtz8qDmMG2dF2QTYt,28,0.4843401008,0.4843394525,CHURNED
6Vr4BNB2ozsYCoh2zx1sMhA8Eanb2hUkDhTP1x1YJiCm,5,0.4803880978,0.4803880978,CHURNED
AkmFv7CzT53kMJ1qrNEHND7GmFcn9bGhqsejqcxyCGkJ,7,0.4464902228,0.4464897764,CHURNED
EHHU7mW8jL4V8q49u7YzELteGWuCxrvmzvFN5jXGQF7y,2,0.3564091759,0.3564091759,CHURNED
H9B755e9QmXdhwnF5s2T84fvP7CYbKAL4gWDL6mpGtbN,210,0.3397181986,0.3397182961,ACTIVE
Dhpv4M6MDBDGV17Er6Gnm3x6aHgTNwuQWtkQYDr7Quyb,2,0.329558924,0.329558924,CHURNED
E6t2BQ8FnZP7MfxJomRxCDiQnCKN5VqrVu4fcgN7MpqX,6,0.3128124826,0.3128129028,ACTIVE
741QwVfa8EDuCUWNPPXQ92AskqFS7z2XFEftYt7rjcq7,12,0.3026405899,0.3026407656,ACTIVE
B7ERZFCHu6AyQPj2LkSTomZpDE19ggzUPjWjpFzJ8voG,146,0.3003207764,0.3003200272,ACTIVE
4bFKpzGCATiU2px7cCij6Nh6TMJmXypJghurZkJVbeSc,47,0.2996585269,0.2996597391,CHURNED
WCSnijKH5XJnwHtqRyqhbobHNttcAdrFGn9vZ43odbT,9,0.279246801,0.2792465218,CHURNED
7uw8K3Er9fG88YJb12dqyBspXWNHL21tTj2P3y3q9Zz5,183,0.2623312359,0.2623310745,CHURNED
B8YwitidWH5crRpWGYSFYZzJQRxDbPLE7EoZcHZEPwHq,26,0.2520661164,0.2520661043,ACTIVE
Ck56hBFZVPBtru9nhWAKjyBnRTUx7osqDmMvf9KPRXnM,5,0.2453244979,0.2453244979,CHURNED
GxAm7cXiph1Z8uer4XZsqfEP3MDBNHHtLBZrSbmYVcGG,401,0.2299902285,0.2299901839,ACTIVE
GAXmrQdeGu5FcM8fdrhKzPHM1VUtqbkLaVV6LZBL8WXo,7,0.20462899,0.2046287854,CHURNED
8Gk8W9wnT2skgaojtjnG6hTpK85EtxVGHeYuwvBtKzJ9,59,0.1991542136,0.1991545036,CHURNED
8jCxRam7LxpBU3aq2eGcAoqPkhmuaVgwuCQWQQ2yiJro,58,0.1892589033,0.1892601528,CHURNED
2jphSG3a59Z7vevByL3K4D1ZeFhj7Kcr2NM35kBqeXWD,6,0.183972046,0.1839720175,CHURNED
AJckw82XrFLKbz8KxsUiJJhD1XQy3gwE8skMTxqSx87q,1,0.1735446911,0.1735446911,CHURNED
AYv1Q7RBrUnaEtHrU4BfRRXBjEXe6WWhCuUeP2539mxz,22,0.1687944087,0.1687942867,ACTIVE
znmT9wVqFpSotMr9w43ZK3XVvY8pxyXRdWdPa7XrHem,23,0.1631680839,0.163168507,ACTIVE
58X57rizwLjMqG4MhQFWcRoEGLjvu3KoMq9HAQUPThwk,12,0.1627479252,0.1627476018,ACTIVE
DCX5xKrN3V75zDPMEy84Hgy5eH1HFNFvpFR81msSKKU6,8,0.1586710678,0.1586710678,CHURNED
WRFTNiAMKv4Tuwt3Lv6eEoYznSyaKxGcMQVxDfsd2SU,5,0.1575355698,0.1575355698,CHURNED
7K5nVGCkB7mt8VXKTG2fDHPeUaAzb3Uow6sU1i2T1URm,29,0.1426815772,0.1426808173,CHURNED
Gtd3sRS1rYfS2BZPFrTn3jBYnHy8AFwPJwG63zpoo16P,12,0.1413781429,0.1413772128,ACTIVE
DZkJFaEMpDChxfwNn35quRVW3roEVNvP3efGYZ8zDF5k,2,0.1386602537,0.1386602537,CHURNED
BHFjwxit1rPe6J3pVHQuhYwYzi4CsGKQCTATTyLfzd7V,14,0.1303605671,0.1303618199,ACTIVE
Gtp2cttYbgX3xm5xBMxovgUDT1nCnNKnQbaVjCBctgkm,141,0.1225918433,0.1225915195,CHURNED
62PB52UCbxZVYKT6ZkP7aYm1u84pPQedxY6wkhgMKgUA,34,0.1219879375,0.1219888461,CHURNED
6JZn6y3AfpZxBmtMMzfp7qr4CeWckKMpb6z1Vb3gjXFs,8,0.1174564616,0.1174564616,CHURNED
DRmPr7aCU4TUgz22V5wFkXAzWSppMSU76xgz38hWLzm5,33,0.1174190973,0.1174189798,ACTIVE
GH2Az4hkMtEKF6CPkHdxc8ZQe4h8WqBn4MDbovH5NbLa,20,0.1154677519,0.1154677519,ACTIVE
8QVTnwdCn79gkBNjnVp2pMDdzj4W8NZu8iBaRCSxUSHm,5,0.1129048132,0.1129048132,CHURNED
23RxA4vQB6Avpq6QAeQU1Je5CWtTGjV9j8TbKCDHpdRE,1111,0.1124253421,0.1124263649,ACTIVE
2pLLCMmEF9yuHzk6BKUJw1cbdFfJHYr9UtD7RxSzaVJw,38,0.1117008312,0.1116994819,CHURNED
DhSHQVzHNLeBXf2HA1epZXbkhG3irbDyqqSoQomdrBvh,53,0.108194682,0.1081949116,CHURNED
5mYnDShxEd6oQa8utrvBzb8eQpg2ZUM1FbWgfzKPQeNF,2,0.1063102565,0.1063102565,CHURNED
6d12nWjE1mSpZUAYkzFYKcjTHHVnNBMCayB3dosvCaZk,670,0.09578393212,0.09578324561,ACTIVE
6ebiHNJuvrC5U79BGzGqMHuscuRHEv1igmCZJDoP7icU,14,0.0889319461,0.08893180027,ACTIVE
Hq9K1hKtX8KDQZjAgDgvRWTyBFeyZraQGv5ge7475Bn2,8,0.08529949599,0.08529949599,CHURNED
2vrP5JiHgx3KZ4TCsVHGS1iDpZUx2X8GsXLRTZqi2pbt,19,0.0782565397,0.07825694645,CHURNED
EpUDHYVbiQ5J4tBqDgQW9KiCKkgcz5qbGKRtonzpSajK,396,0.07767867567,0.07767865936,ACTIVE
6W5ktxvSpiWWUpuq8SEhE68XySqGTqJL2igMbvMBvShp,10,0.07693391488,0.07693391488,ACTIVE
4pz4bcKvvKCfdrRxgf5kcRF8vsGVF5sCLNHq7KUBeY32,23,0.07486710505,0.07486709426,CHURNED
CNwW7rDqeGeThw68pc9D4ZANst1uNkKcmXuF2QKoYZQg,29,0.07331489185,0.07331522036,CHURNED
2QdTQBz1G5dzUaUhdhUHtGLdmcGeQmTucseBpAS1bKcT,19,0.07280376707,0.07280389206,CHURNED
9BjA1LXg3qwt2yWLoU69myyqST2CYs7gPkXpRY7TH8Eq,94,0.07068674722,0.07068640345,ACTIVE
EfrsotQM9NCu1UyvM9hEFgvdQz2Cqs8M4nrRcgKYUe4M,7,0.07049738959,0.07049731909,ACTIVE
HfNyfwDALVAmzCDW3RUa2cJB9zqDb7csCK3moJLqusKB,57,0.0701371039,0.07013712965,CHURNED
5uM7gMNMoJQaNNY7njnci9rtmcSNMCsCE7GTG3yvpUQY,9,0.0699502484,0.06995022225,CHURNED
2erhA2zSuxnPBAgmJT93DexzgNBdJ2rM4k8D1kxb5LmS,14,0.06312857954,0.0631288468,CHURNED
BVceKpCoupkRoAh8q3aKK4NFtPS1rdyLpK76oPJnDBxV,182,0.06062359519,0.06062349758,ACTIVE
EiVncHd18VzQ6i9ga2aZp8UcUKK6mC779XTgQfYjqHL1,3,0.05876088576,0.05876083815,CHURNED
Cdsvv5zLQ85Ab9NW8jR8ai67kekDTKTXR3p3JcQSiHR8,21,0.05826755261,0.05826749434,CHURNED
CyompV6MYVjqWP7EZnhYjJbbJ63VGFiR2ayz1k8ECP4c,387,0.0549551046,0.05495523627,ACTIVE
35bC3wNmDYfucch17ZQukWMdtrpHmkQc1SLx5zScTQzh,7,0.0546683461,0.05466832494,CHURNED
92UFYHGxiE3TeAb7D5S5qZJ3UeyqvPhnbtDC6CVvExPf,5,0.05364991962,0.05364991962,CHURNED
BxnATfsMf9sMW7i2jDk3tGyYTy5pzXmSnZAcbj5yvtXP,17,0.05270374249,0.05270409276,CHURNED
6kZ32CyLdKMbX5VoQNNqFSNdk9wQDR4JRTtL5zEMPF4G,118,0.05223126997,0.05223275413,CHURNED
HJ3m1HL3B5d9DyTKjd5Vh4y3Vmqp24c5JxeoWQpL6wif,327,0.05182322261,0.05182250616,ACTIVE
ANu3YYqy8WWmhyv7SYegCUXuyKM6ismZAyScnGTUJDNb,8,0.0499254464,0.0499254464,CHURNED
J7Qsx1tJXBABgdTkGGKiKgLpzP3Hbck3VBN8udNwNXPo,20,0.04627373658,0.04627373658,ACTIVE
4TLMGQn8fWrfKZW53uMmo7mxKHZ6uKhe7mBvGu4x77xb,7,0.04435185669,0.04435188201,CHURNED
