SWAPPER,UNIQUE_TOKENS_TRADED,EXPECTED_ROI,WALLET_STATUS,MEME_TRADE_COUNT,LAST_MEME_DATE,TRADED_DAYS
1,3,229.3491924,CHURNED,24,2025-02-03 0:00:00,4
2,4,127.0693707,CHURNED,24,2025-02-19 0:00:00,2
3,80,35.21338787,ACTIVE,331,2025-04-06 0:00:00,39
4,11,18.30614808,CHURNED,25,2025-02-26 0:00:00,14
5,17,13.97192722,ACTIVE,85,2025-03-04 0:00:00,7
6,2,11.72137405,ACTIVE,153,2025-03-03 0:00:00,38
7,17,10.1382329,CHURNED,134,2025-02-20 0:00:00,12
8,1,7.209622192,CHURNED,10,2025-02-07 0:00:00,2
9,3,7.208561175,ACTIVE,137,2025-03-03 0:00:00,37
10,5,5.94294043,ACTIVE,121,2025-03-01 0:00:00,34
11,4,5.798662386,ACTIVE,105,2025-03-04 0:00:00,38
12,9,5.741248197,CHURNED,68,2025-02-25 0:00:00,17
13,5,5.232197324,ACTIVE,119,2025-03-01 0:00:00,34
14,5,5.133458416,ACTIVE,75,2025-03-03 0:00:00,35
15,4,4.686943337,CHURNED,16,2025-02-05 0:00:00,2
16,24,3.816347941,CHURNED,58,2025-02-17 0:00:00,12
17,7,3.434439146,ACTIVE,142,2025-03-01 0:00:00,36
18,4,3.318421814,ACTIVE,54,2025-03-01 0:00:00,25
19,4,3.292565117,CHURNED,11,2025-02-21 0:00:00,3
20,1,3.257974875,ACTIVE,104,2025-03-03 0:00:00,37
21,2,3.154649151,CHURNED,14,2025-02-19 0:00:00,2
22,87,2.479469234,CHURNED,259,2025-02-11 0:00:00,19
23,306,2.390571119,ACTIVE,1258,2025-04-07 0:00:00,88
24,13,2.15534352,CHURNED,61,2025-02-24 0:00:00,10
25,4,2.12115607,CHURNED,12,2025-02-09 0:00:00,4
26,3,1.994894223,CHURNED,22,2025-02-23 0:00:00,2
27,16,1.874452469,ACTIVE,1206,2025-03-05 0:00:00,11
28,6,1.550727397,CHURNED,16,2025-02-05 0:00:00,2
29,6,1.494993379,CHURNED,34,2025-02-06 0:00:00,2
30,22,1.428200845,ACTIVE,194,2025-04-07 0:00:00,34
31,5,1.404435773,CHURNED,15,2025-02-16 0:00:00,7
32,7,1.333130709,CHURNED,19,2025-02-09 0:00:00,5
33,7,1.328320441,ACTIVE,68,2025-03-01 0:00:00,8
34,45,1.233878791,ACTIVE,126,2025-03-02 0:00:00,18
35,8,1.200058988,CHURNED,20,2025-02-28 0:00:00,2
36,2,1.128558496,ACTIVE,75,2025-03-01 0:00:00,21
37,3,1.095453088,CHURNED,21,2025-02-14 0:00:00,4
38,1,1.082819187,CHURNED,16,2025-02-15 0:00:00,2
39,7,1.035942553,CHURNED,18,2025-02-27 0:00:00,4
40,1,1.007485364,ACTIVE,30,2025-03-18 0:00:00,15
41,17,0.9499860506,CHURNED,44,2025-02-12 0:00:00,3
42,171,0.9365740533,ACTIVE,1240,2025-03-21 0:00:00,70
43,2,0.9261268603,ACTIVE,34,2025-03-03 0:00:00,22
44,5,0.9188140987,CHURNED,21,2025-02-15 0:00:00,4
45,4,0.9104474338,CHURNED,12,2025-02-14 0:00:00,3
46,3,0.9032590177,CHURNED,16,2025-02-28 0:00:00,7
47,2,0.8625808595,CHURNED,11,2025-02-14 0:00:00,2
48,9,0.808267368,ACTIVE,47,2025-04-02 0:00:00,23
49,10,0.8014779848,ACTIVE,24,2025-04-03 0:00:00,6
50,25,0.7731322876,CHURNED,66,2025-02-12 0:00:00,9
51,5,0.7627518597,CHURNED,14,2025-02-06 0:00:00,3
52,1,0.762107978,CHURNED,13,2025-02-10 0:00:00,4
53,3,0.7620213164,CHURNED,14,2025-02-28 0:00:00,4
54,70,0.7357255978,ACTIVE,508,2025-03-20 0:00:00,32
55,14,0.7265801374,CHURNED,68,2025-02-14 0:00:00,11
56,5,0.7206767449,CHURNED,13,2025-02-23 0:00:00,2
