SWAPPER,UNIQUE_TOKENS_TRADED,EXPECTED_ROI,WALLET_STATUS,MEME_TRADE_COUNT,LAST_MEME_DATE,TRADED_DAYS
FJTqcKoW4dXfxLUnzTtZ3bTRosPRQGB4t5knppua3PRv,3,229.349192385,CHURNED,24,2025-02-03 00:00:00.000,4
HRZmCrQuzKWzjaKi9HSeY9gDozHJSBb5bC6ZdMKkgT7Y,4,127.069370743,CHURNED,24,2025-02-19 00:00:00.000,2
6NJojUNdnuvQoKzkSsMACiwPwZDpV6Y8Q4xTAQYngrH3,80,35.213387866,ACTIVE,331,2025-04-06 00:00:00.000,39
AQWnCZHD4XcEyn8fyyqiddKcPaA8S3fuc4ocxBEESAhp,11,18.306148077,CHURNED,25,2025-02-26 00:00:00.000,14
HP9rEJapGU7AzWDhCgQrBT6T52FWvnDzF698ZG1yTAMo,17,13.971927222,ACTIVE,85,2025-03-04 00:00:00.000,7
7TopomfXyfC7UZc7Ggu3FZj89s3qosDSz8PjXWMYDQy2,2,11.721374047,ACTIVE,153,2025-03-03 00:00:00.000,38
8Jj9Giwta9taRaUUUHfL8oLNwPDh6H6ZJG9f1LaGm9gZ,17,10.138232901,CHURNED,134,2025-02-20 00:00:00.000,12
CWYh7662ZYz8xUxvrvAMXD8TP15MFYBHWEXBSpQz7t6U,1,7.209622192,CHURNED,10,2025-02-07 00:00:00.000,2
54hYZYvD2eyD6oPiGSBq3XxZK1Q4ePVzKAMSSioDnigF,3,7.208561175,ACTIVE,137,2025-03-03 00:00:00.000,37
CJxzqzc6mUeLnQC7raKjBJ3GR1pQJbi9kdLyYFnA99dx,5,5.94294043,ACTIVE,121,2025-03-01 00:00:00.000,34
3ArRUdAxWYnakaNKJQR169D6avrgh43bomvZUY7jQ184,4,5.798662386,ACTIVE,105,2025-03-04 00:00:00.000,38
BCx1rhKKvmtrJkCBjVNbzEjcjZL8GTcv6GjGWPznpEST,9,5.741248197,CHURNED,68,2025-02-25 00:00:00.000,17
EiMJs5RepyMcGT9UErH5Ms8Po75i58zJAhgmPBXMaqe3,5,5.232197324,ACTIVE,119,2025-03-01 00:00:00.000,34
3UG6nma5mxa67Z88mpn7g3uB5fi22FM4zF292g2v9Cce,5,5.133458416,ACTIVE,75,2025-03-03 00:00:00.000,35
8XxCf5rYBY9nAecKjnc34X9rm7eH59aq1DFo3LyksJKf,4,4.686943337,CHURNED,16,2025-02-05 00:00:00.000,2
3L6dfsZpNTsJtMumnoEfoa3d4YRDQf5RWac9etzvpKA3,24,3.816347941,CHURNED,58,2025-02-17 00:00:00.000,12
J8SXuZJ3aJaPnZCKdN5MvMBBxv8WG7M9BtqVSFAKGr7Y,7,3.434439146,ACTIVE,142,2025-03-01 00:00:00.000,36
BJeNPfXwfd9ZJACANKDJcy8RbHkNPXGQ5dVLN1KrRkbq,4,3.318421814,ACTIVE,54,2025-03-01 00:00:00.000,25
F8zUwNBsR9b1Cvqvxs9gQpxjvywW5hyUpNVp3LGSeG55,4,3.292565117,CHURNED,11,2025-02-21 00:00:00.000,3
5AP1NXWJk9A7HcMSomPrdT9WAFczUXgy3p81eCF9PLLE,1,3.257974875,ACTIVE,104,2025-03-03 00:00:00.000,37
HREoPfaPQFDt9W93DVvqM5rELmTf9CuuaAfV1XrbEsCR,2,3.154649151,CHURNED,14,2025-02-19 00:00:00.000,2
5wEEH5gwxpiF37VxaVRLGE2QKZEX7rKoDxiySidHdZWM,87,2.479469234,CHURNED,259,2025-02-11 00:00:00.000,19
FYTiZbk17NNPQ5j1aRH67mhJZH3ggYcmwbQqqEN9GAk5,306,2.390571119,ACTIVE,1258,2025-04-07 00:00:00.000,88
EhRR3676Bs8TjFAJz5Ak3xzfq5bcnd1BfKPthWmmYSCt,13,2.15534352,CHURNED,61,2025-02-24 00:00:00.000,10
FfSaXmUyHemZq3CVFPvJbMeZmhm6WpUkdHRj84V5UZ3o,4,2.12115607,CHURNED,12,2025-02-09 00:00:00.000,4
BAFJdJ3A87YbqQTmsY4MAiqf1EWEgiHKEMxP8eMxmKFL,3,1.994894223,CHURNED,22,2025-02-23 00:00:00.000,2
EG3FrvqZjUUXUHhoeyCvCqWuhRPbFUR13kgn4ajUmvQN,16,1.874452469,ACTIVE,1206,2025-03-05 00:00:00.000,11
EoUPiqEtNZDCg1ueYjueqYQESuW9zht8iHjp9hwaFXvo,6,1.550727397,CHURNED,16,2025-02-05 00:00:00.000,2
CDdnc9W9ZuJrEENVGMenYnhsQu7VCEVkaeqgXQmm15jx,6,1.494993379,CHURNED,34,2025-02-06 00:00:00.000,2
5m6BRNYaWGBkpqmeWmFRibz8VPk2gYF4o1NkSv8ojUyp,22,1.428200845,ACTIVE,194,2025-04-07 00:00:00.000,34
4oqNFYvep6NMvwtobpQCvV2PJmhy18CibSwRZWrcJaMT,5,1.404435773,CHURNED,15,2025-02-16 00:00:00.000,7
FZhkgz2LEcJ5mbajo3Ds3AFqrTJ8hpMUASsHFiqpQkxJ,7,1.333130709,CHURNED,19,2025-02-09 00:00:00.000,5
BRjYzGRa1AcA85AMR4BQMLG6NJcPMu6v4Vkfxf8ZYZP1,7,1.328320441,ACTIVE,68,2025-03-01 00:00:00.000,8
cjE8T4GiSSvZi8moq9jYzNaPMmNVWsWqpnVt8QBY9ET,45,1.233878791,ACTIVE,126,2025-03-02 00:00:00.000,18
C2KQhkiUmJtcDqeqV5XfbqexdaSqg2u8qnDMr3VNDsQ4,8,1.200058988,CHURNED,20,2025-02-28 00:00:00.000,2
