WALLET_ADDRESS,TOKEN_MINT,TRADE_COUNT,TOTAL_BUY_AMOUNT,TOTAL_SELL_AMOUNT,ROI,FIRST_TRADE_TIME,LAST_TRADE_TIME,HOLDING_PERIOD_MINUTES,BUY_COUNT,SELL_COUNT
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,9cqncwnwHDNL2dkn19pDH7CfYN5Rrn5wUsqoznVcpump,3,0.06003855,0.866271898,13.428594595,2025-03-08 04:25:50.000,2025-03-08 04:27:44.000,2,1,2
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,GXpTaRDwNbHTHy1NZsfeorBsrggq6idiFJQBJueopump,9,0.832739379,1.285203927,0.5433447239,2025-01-28 20:40:39.000,2025-01-28 20:51:01.000,11,8,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,55biKsutjKyKrdknmHQMXTSf4a5ST7TpVidjh3mypump,5,0.200701108,0.285953476,0.424772782,2025-01-22 19:32:57.000,2025-01-22 19:37:19.000,5,4,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,988D7BwtdHrB1gT28cjKATzUbNe7Axug6BQgTfHopump,8,1.035164521,1.265875454,0.2228736866,2025-02-23 21:07:36.000,2025-02-23 21:15:27.000,8,7,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,JDbb2p4xY3vxFJgXEmhUwjgdkYWXJdHVztwEVtZ1pump,3,0.442181897,0.51915053,0.1740655452,2025-01-30 19:31:30.000,2025-01-30 19:34:02.000,3,2,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,8LLZVpC63y32SDy6voqzjiWMPTRsRhQNW5RrETmGpump,5,0.372574093,0.404005995,0.08436416431,2025-02-16 21:30:35.000,2025-02-16 21:32:44.000,2,4,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,Es9WyCEKZwvFbzfgfXXbU4tSfPCWzQQNCUND3uqipump,7,0.550917499,0.580926131,0.05447028285,2025-02-26 20:59:03.000,2025-02-26 21:07:14.000,8,6,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,6AhT29ddTLktXZZc48koSwk3eJfNrqqNyc1n66gypump,6,1.267672049,0.96361364,-0.2398557334,2025-02-19 21:57:13.000,2025-02-19 22:02:25.000,5,5,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,4rUfo3iMZxiYCAnaSauPNTHDXxWZfs4RKMVxcKMopump,6,0.563357884,0.344461228,-0.3885570118,2025-01-18 23:18:45.000,2025-01-18 23:22:55.000,4,5,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,6wHtJ8iTSnDn3YX8qi59ws9L8tLca5ds69ueoQeRpump,14,1.424451029,0.740920053,-0.4798557213,2025-02-02 20:53:36.000,2025-02-02 21:06:15.000,13,13,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,mcHyKT7JgYJFm7xyYTFvvajTcg8kchZ2ot9Ammspump,8,0.93391454,0.13284274,-0.8577570706,2025-01-28 20:01:47.000,2025-01-28 20:06:59.000,5,7,1
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,Fm11hv4yDcKKuUmLhB1WztJhXHydPQLvJ6xALSTypump,7,0.523626638,0.069518037,-0.8672373941,2025-01-26 11:46:35.000,2025-01-26 11:49:29.000,3,5,2
5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,H8hLDQqX75zeozSGi45WCsyj7im37WKSQ3yLbQFdpump,7,1.626315017,0,-1,2025-02-01 20:05:30.000,2025-02-01 20:09:19.000,4,7,0
﻿
