WALLET_ADDRESS,TOKEN_MINT,TRADE_COUNT,TOTAL_BUY_AMOUNT,TOTAL_SELL_AMOUNT,ROI,FIRST_TRADE_TIME,LAST_TRADE_TIME,HOLDING_PERIOD_MINUTES,BUY_COUNT,SELL_COUNT
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,7uv5NeqzucdExUjXNoz7HrXnbNFb2QKEzbbowVS9pump,7,1.04895,3.045453777,1.903335504,2025-03-18 01:50:50.000,2025-03-18 02:32:06.000,42,2,5
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,5sKz1BUzHVXGPzibSUt2BeZxtL5srsRoJSPEgo8qpump,2,0.67932,0.885919852,0.3041274392,2025-03-20 22:29:39.000,2025-03-21 00:02:19.000,93,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,JEGMd7YKJ8xbvXMaVSQLReJsyePEM9Lt8G5YhYfvpump,2,0.5,0.553324931,0.106649862,2025-01-19 20:04:51.000,2025-01-19 20:05:19.000,1,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,5jxYa3nSTCyngHduxzwFUvBb8YgjKf2WZLENdHQvpump,2,1.968517987,2.073438795,0.05329939005,2025-02-25 04:02:19.000,2025-02-25 04:05:51.000,3,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,2oYc5MY1Pv3AeCpR4BMMJ2nGPYMsYrtCEh51ds3zpump,2,0.999,0.99016112,-0.008847727728,2025-02-25 20:14:40.000,2025-02-25 20:20:46.000,6,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,B3REJFSMv9SRuU7i4c9E9EJT7AbVWqJBjBTw5pVbpump,2,0.4995,0.491651308,-0.0157130971,2025-01-29 17:38:29.000,2025-01-29 17:49:56.000,11,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,EEoGUbdn44hchJtSDyiFinzAfKPYJfzh43fypynCpump,5,1.071962263,0.959105364,-0.1052806642,2025-01-27 22:56:55.000,2025-01-27 23:25:11.000,29,2,3
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,Xsr5EZowNPdSL7yNqymQvkmc8yGLJW5osYA5DaQpump,2,0.8991,0.759640333,-0.1551102959,2025-02-13 20:15:19.000,2025-02-13 20:16:49.000,1,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,8NsbxqbpGvS7BQJvXVaHQ8eJxYhiBBKo2gtvNwrypump,2,0.4995,0.405913899,-0.1873595616,2025-02-25 14:43:43.000,2025-02-25 20:09:47.000,326,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,2kxYtzaePkB4tyFtj6ZxeQs1L8u7fqgUVubvEyccpump,4,1.25228773,0.835645429,-0.3327049296,2025-02-25 20:07:36.000,2025-02-25 20:14:55.000,7,2,2
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,2dRSRBdg3uHF6pjPTGx2mGxJZiH4FPHoieQzQBCApump,2,0.564197071,0.305699092,-0.4581696579,2025-01-29 16:47:16.000,2025-01-29 16:55:07.000,8,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,EBvinar8moxCH2VRwM9khQDv4KMHTn5PaedZP7KSZVn4,2,0.64935,0.344290597,-0.4697919504,2025-03-02 00:31:41.000,2025-03-02 00:38:33.000,7,1,1
E8dRva3qLrjf5fPhGmLeMZdTFtHZDt4Tadr99qaPsWvG,49keG2xG9Fv7XfB7rernwmqPk1vAZQcuxDsC7z1vpump,1,0.96903,0,-1,2025-01-18 15:32:29.000,2025-01-18 15:32:29.000,0,1,0
﻿
