SWAPPER,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,MAX_TOKEN_ROI,MIN_TOKEN_ROI,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED,TRADING_DAYS
DjJKj4XaCGmMMLZRPqTdteAjjSKM7EssvtfFG54RFYWZ,1816374021.30213,7706222325.94306,0.235704146,0.2777777778,0.03533781865,32694732384,-0.3147236436,32694732384.3147,0.1376166204,62,10
GR2DBk1tTg3YxabzUXQxgomNUuP7hmufffSFvc9taEdV,44.463111949,379.338855904,0.1172130655,0.1944444444,0.04442806186,3218.55232288,-0.8882838,3219.44060668,0.5404605712,110,32
FABAYXxasMGommBnU1N1iHccPuGDuxprJVX6W61zP9tr,17.051840445,66.492205542,0.2564499959,0.3333333333,0.1371553984,257.403922473,-0.9409327503,258.344855223,0.2112788182,54,25
9S8H2YKt42GFX8tmRocafJxGpHnVjDUf5vmuMp9ccZMu,12.753127261,13.709204469,0.9302601979,0.875,0.04007102219,42.29818984,-0.03134108484,42.329530925,12.155193991,146,48
BhMnYT37y4ZUbtfm7oxh6vLQvWGrKXHejHMqbxYHCKV5,11.54611028,23.19236949,0.4978404099,0.7575757576,0.02941176471,68.477052136,-0.9982453835,69.47529752,0.5411564939,34,28
31tNJhWaZdyxmmXkX18ZwYRB11aDzsqHW6bZeYo4fVBB,10.267501862,8.523664236,1.20458779,1,0.09351944331,19.82628521,0.7741819315,19.052103278,11.167775603,124,45
EByPhWEgjU5cRaXWgg8nPqsY9WLMDifZ9qLDftvTmi2Q,9.624619157,0.2942134191,32.713052947,1,0.02667149131,9.832659461,9.416578853,0.4160806075,0.2080403038,54,25
7Q3DvWYNTg37szQVbGVUGsAxDcjDKEpfAgTBmUpXjLVn,9.079163666,39.638211536,0.2290526155,0.3157894737,0.2409072195,172.759176894,-0.5289464727,173.288123366,0.2472707154,19,11
hnWH4J1PcDwPDJxCbaNLgSFrfToR7SCCuhy1UdDd7k1,6.581068369,1.991633024,3.304357926,1,0.02289584759,7.989365586,5.172771152,2.816594434,1.408297217,55,34
5Xmb8gvMRqdsgtYThbAihdGDyY9duRH7HStMDoMAyXEZ,6.440032102,41.363786425,0.1556956339,0.5476190476,0.03516193361,268.112695871,-0.3713219149,268.484017786,0.08856062514,45,11
AQXtfbCxEbdUAzdSWX83Nm9rUBXT8ve5mtBZybaA5TKc,5.055987403,5.218334248,0.9688881751,1,0.03885280305,10.67554319,0.3630056186,10.312537571,5.156268785,139,39
GvCHhA3Z6ydTdzWv5b4RBP7Es9qAghuDzpWhmhcvy6as,4.721656367,1.303915422,3.621135916,0.9882352941,0.009467526143,6.628060753,-0.06683042737,6.69489118,2.331368509,113,18
7r8XHMPuHZhaHaFppxTBAhzgumU8c2EnocQtV3Am9TX9,4.06392576,14.841282599,0.2738255046,0.3636363636,0.1034314153,48.788254513,-0.8724991152,49.660753628,1.012858199,13,12
F3uh3YqN89TxkMwZmomzdJWqWpskcnKdsffnZiFzfSGu,3.807943432,5.753877882,0.6618047012,0.75,0.09850192684,12.230953486,-0.4715919547,12.702545441,4.464074099,80,33
2Z98EviA9aVtAnNHmUHZHJAVJB3keK1oYzxoYnTSuXfh,3.601841742,2.530528894,1.423355448,1,0.02627649949,7.573208822,0.02797670067,7.545232121,4.956808775,86,32
P18W5jYrugg6csWR1Mh8bKsWgvZcf79gf7Bfy4ioZpv,3.272555606,4.396055006,0.7444300859,0.75,0.139501074,9.668476826,-0.03620011023,9.704676937,3.660793513,65,31
LAHg9qRUy7h8LgsSo28sKW6VEuLQn3vfrsh788YFvNE,2.958286284,1.64228573,1.80132307,1,0.1135009031,4.418822041,1.180531462,3.238290579,1.619145289,109,41
7YEiQ3RQiDvYYXuuJywcijLCAc33NqR6qSZLeS9mZdUc,2.395134041,2.709134905,0.8840955231,1,0.03853630031,6.424564839,0.6246343113,5.799930527,1.778392155,139,40
HEhBoxFQDfa63pzqL5qVbHan6ihC5sJsKW5fMwWt2gXo,2.228046208,6.740831948,0.3305295247,0.4285714286,0.1090053538,17.437940127,-0.8848085039,18.322748631,1.419181717,16,12
7xq8tMMeawnNHzcgfhfQewKENsrAnUYk6K5WcNTmuVQS,2.150756542,10.905308068,0.1972226576,0.4117647059,0.04301243805,57.433776813,-0.8170491036,58.250825916,0.81157734,67,30
63fjaP84cxcRVXrjnp2T72zh5ztS3EgfWU1f7JGp82CS,1.932366887,6.853816261,0.2819399996,0.2307692308,0.4541622517,24.5074796,-0.8297016064,25.337181206,0.3039867435,16,13
8UuoaND7gw4H8ra2oM6RVLGv5pqvD1gR8M2Z2v8xo1r9,1.760079487,1.190195815,1.478815418,0.9214659686,0.005200917754,3.934812585,-0.9999171812,4.934729766,1.546119135,220,28
8EXKKMPzaB71bjaHEonkftUtZ7v91JC8fCczpCgbbesD,1.714638237,2.764660945,0.6201983792,0.5,0.1894116333,5.773331734,-0.07778268234,5.851114416,2.335031555,50,23
25htWKPPLWRXrE33vE5ezHKULc18LnVXFyGMCe17hptm,1.709806818,3.074901413,0.5560525649,0.625,0.05137172138,8.075820817,-0.8335638735,8.909384691,3.105523423,38,29
EEPAEGhgvTMDEC5j4bxJ9tBKScwJbwR8jJeVCkh9maDe,1.539717121,6.606565683,0.2330598411,0.4,0.04482844747,25.340453266,-0.8933208566,26.233774123,0.8332365974,20,17
7EX9VChduKbWSU9WB6fioE93EAY8jzpEX5rRdXUrFTd4,1.41409581,1.829591832,0.7729015767,0.6666666667,0.006211180124,4.212970565,-0.9999755497,5.212946114,3.877670162,161,39
3cabHD38AVxXieZUNkWdszuoxk3PkQs84DM1V3Tin31Q,1.348440374,3.904972619,0.3453162564,0.5833333333,0.02620792921,16.880574093,-0.7238237977,17.604397891,1.135465278,88,43
6LdbamsnvcHQVmRaj2i7UzRp814B14XZLHkCt2JEPG5M,1.324673943,2.977561699,0.4448854353,0.5294117647,0.2156275176,8.454410854,-0.9709691606,9.425380014,2.965483977,28,10
B7nnyRjayieh1QVxjpxt6EQeDjikTiMNLyALb8Yk2bsg,1.282738753,4.52947259,0.2831972675,0.4727272727,0.01198826879,22.505729064,-0.648214236,23.1539433,0.5927658533,185,25
CQd7Cz4euAc4KMf4JDaeWgVagRi3yCFjLR2gFLihMGiW,1.04568703,2.655865776,0.3937269699,0.7142857143,0.06888249441,7.02013001,-0.4874898431,7.507619853,0.4398802243,37,30
AVDA3BcqYD74Xd3Zs9TXdGfGEVpbY3vTaKFPMG1nrQbQ,0.991512883,4.003739174,0.2476485152,0.3333333333,0.05492926421,13.609532629,-0.8795317131,14.489064342,1.134979067,23,11
D9vmQDYACMW9HsHid3qjpxxyjXacGVc2wUXuME466yET,0.9476574001,2.170828373,0.4365418343,0.84,0.04,8.773164234,-0.9910796272,9.764243861,0.3389885443,25,22
DwRqrPAaaqX8ePFgtCJVPUF1WxLzQwydp7wE3EJEphJ3,0.915966157,0.3071516004,2.982129964,1,0.01192769868,1.247661521,0.6413722355,0.6062892859,0.303144643,109,41
BGsbUVQV8LsmzWkDk866fTwcf1cNSVzPZRFBut664FAY,0.8743448974,1.112515388,0.7859155554,0.8387096774,0.06199524073,4.649336386,-0.2774628654,4.926799251,1.110484332,31,10
BM1XAGssNPWHKQ1L1ixSYTHq82t8rnN2ZxkdMcL87PVi,0.8599486624,1.279959846,0.6718545655,0.7666666667,0.04257246209,4.376418901,-0.35711071,4.733529611,1.167805615,30,17
44bPxTL5cMwhtv47qpePiAPKHPMfhGmCM8x1DMbDQzJg,0.8496176852,2.583096106,0.3289141406,0.4444444444,0.07932601113,7.733897546,-0.1717264826,7.905624029,0.03668334962,19,14
8f9RjQiCzTKDFPC1uAjMBBEwo1MtKSQ1Ghxe1TX2foBD,0.8451064251,1.424004584,0.5934717028,0.6,0.05492196538,4.627337493,-0.3492463807,4.976583873,0.9283767515,26,21
GvdJb6vf6YrVw9rVKvjXzsUMCYZgYYeYG1E647RwAUGH,0.8450625998,0.8206215126,1.029782499,0.88,0.03685933026,3.354357522,-0.6601790946,4.014536616,1.02291767,105,37
7HNwu1XbuXtijh6f1KDcNQ633GTg77RKrJoADbvrEbU4,0.8243052573,6.343574029,0.1299468428,0.4259259259,0.01889529345,46.481915766,-0.8453630604,47.327278826,0.3647328837,63,31
3rgnhKxMYEgZ65Dpa8psvPipAK8uTEZKGxUbRea1kVNh,0.7640821089,2.514567847,0.3038621964,0.5,0.0488523018,7.725103741,-0.8495410361,8.574644777,0.6399248092,19,15
FuGdLfyyPrwzf4bmuvzivuC4SR4TCBXgAx42pt6931x,0.6952473243,8.602009004,0.08082081076,0.1641791045,0.05651528517,69.999946,-0.9090905821,70.909036582,0.5906617239,73,13
EQ7wMtNVbF1cvHf5xkNkJqyBDFPpSREXtTRZ9LW8wotv,0.6844649548,1.838340525,0.3723275921,0.3343373494,0.01429084889,6.304630678,-0.8932410667,7.197871744,0.451103552,333,26
8tFX2fHVdtNeeTbimkbkYNPnpNt5XegVWHnZEhAneKCz,0.6439764964,9.458188951,0.06809164839,0.3402061856,0.07306289543,131.687171384,-0.8747867684,132.561958153,0.0006242541667,194,39
DGGGETkY1n8K8WS8aw1EKqL3A5vAodi48rdGHdPbry36,0.6426078444,7.608491542,0.0844582062,0.1672025723,0.01779106132,156.796733994,-0.9831872431,157.779921237,0.04210945543,976,39
5p4wJkduAcWwBqBERRkeArQqE9bmPCdNyWGFr6x8F5od,0.6221881222,3.234791155,0.1923424018,0.2727272727,0.05851849986,10.312957863,-0.8286668431,11.141624706,0.5655676713,15,11
78J7qW3AsMM2PqYf5KtoJeumNyYnq11NDJdjYWxUWfAV,0.5566787838,0.9066732498,0.6139808997,0.6470588235,0.1556900423,2.827037486,-0.2975146656,3.124552152,1.140136744,18,16
73cWcbp6mcGaSDENhdvft78vZBqRiCXzQNn1juGB2jPZ,0.5546933879,0.6751164647,0.8216281909,0.8620689655,0.1217765043,3.269496953,0,3.269496953,0.8363559461,59,27
GSuazWtBUjfBjZkUqfL52UCxt6vWR5cUTG7rsR4dj9Ft,0.5518652129,1.126009706,0.4901085307,0.75,0.0322016626,5.101022301,-0.6914023195,5.79242462,0.6297607505,36,14
4odpLepxDp2VxRKHQ2NCwrcyqKtK7ZziDv1swnMr2NT5,0.5372246661,1.380864416,0.3890481902,0.55,0.02399808016,6.449040741,-0.7194764623,7.168517203,0.714868961,64,15
3HUQhVLf4QiNA1W95kJh3vDznEm2cq1Dj5DLGs1M6U8B,0.5349393239,4.030717125,0.1327158549,0.4083333333,0.03699239197,36.532629761,-0.9589408821,37.491570643,0.4466456334,133,44
J3KZp4VYFJ6vAeBS4nFirer3sHiHuTJ36L7LhLXtyNLk,0.5331006716,0.9387584476,0.5678786117,0.6,0.03271073909,3.209099323,-0.524820184,3.733919507,0.7498507316,134,57
7r996SE7i7vVLGrggbtPzmognsCbC1M6urPvjS5WnJq1,0.532682631,5.762827838,0.09243329043,0.2040816327,0.1584884203,39.987558011,-0.840210798,40.827768809,0.4449428257,68,17
ENZkLz3bGvxZUmqoXH8bUmoVRek4Gpe3tFawx7Z55wDi,0.5214328754,0.6871535908,0.7588307891,0.6666666667,0.08315022183,2.164188477,-0.1877910499,2.351979526,0.982924546,20,12
4CrYfig95KnL6UCNYqNi4d4xFE3KqyiV8CnUZ1E2LAwM,0.5205176818,1.455112841,0.3577156535,0.6129032258,0.1827358905,6.237750189,-0.6953296302,6.933079819,0.6421743221,42,21
pejLuXjEa2ANdWs8ob33sGJ3q6U9mGvhaqC7q6NAsMk,0.4973469278,1.507501102,0.3299143537,0.5392857143,0.0034616853,4.132790223,-0.9999866906,5.132776913,2.568681242,311,40
DDj3CJaAAbsGZMEtcFJf25pve4jW3tSSmDxBo2YqHpru,0.4915179937,2.488868816,0.1974863034,0.3636363636,0.06829116918,7.810166477,-0.8848713732,8.69503785,0.8854556619,18,12
6kAT3p5Mm4TE2Q411FFqnAFo7xYr2mWP5uoegKYFrspJ,0.4677325985,1.115133288,0.4194409793,0.75,0.1092649785,2.85976782,-0.8405851318,3.700352952,0.7484772347,11,10
6c178L66AYSzznuiGHe8e8pNj6nEUgbyC2NHRxD6EMRh,0.4656291425,0.174929271,2.661813771,1,0.1111111111,0.7249496662,0.2430230399,0.4819266263,0.214017314,9,10
A7ZsmW2edd7YGvNkZD5DZrJAunHSHeJB4vK1rjYSFqSa,0.4496084047,0.6595141522,0.6817260154,0.7142857143,0.06454611174,2.16024143,-0.2229080113,2.383149441,0.6813003459,21,17
BoGhkZTaJvrqPv8EMrkT3iZS8FzhuyM1Y4JWPaH8LzHn,0.4487325848,1.205972314,0.3720915737,0.4285714286,0.05105956078,2.629094347,-0.6429052984,3.271999645,1.310746739,130,36
7rt1LwyhFHJUMnc3Vbic7LdiCHzG4aJL6E3bgjcht748,0.4320100796,0.4056972758,1.064856159,0.9736842105,0.05309452594,1.883097225,-0.01903620649,1.902133432,0.3653864896,39,24
2iW3wxAVcCNhAbjGESxsrnNSSmvuaTuXB9ETkSgkE3s9,0.4212804059,0.7823540148,0.5384788954,0.7763157895,0.01947006035,4.190468196,-0.584305922,4.774774117,0.6776328742,76,32
2FU5KszvYLPnD4dR4VA2d5W14FGB7kfahAxYsXLrnWSC,0.4196784067,1.707983832,0.2457154331,0.5454545455,0.1020597899,5.395978191,-0.5971317351,5.993109926,0.6795276641,20,14
6wWywfyD9xP15Hh1pYhTkG6HUJiX6inMhcgyMmo67yzr,0.4021943789,1.005563008,0.3999693462,0.2,0.2835278743,2.195325,-0.1843301057,2.379655106,0.000007,7,13
AD9cnFW6dX3ybZ83Vj12iSQzNn9tJW2xkFK2hTfDv1uZ,0.3671905409,1.362146012,0.2695664693,0.4166666667,0.07566979945,4.396983074,-0.7124185421,5.109401616,0.4056460157,16,23
B9gBgemHonXUFD46VRvLYvBUQHGgE7iL8y2muUKAfUjR,0.363369478,5.083598018,0.07147693343,0.1654294804,0.008949065998,67.069420572,-0.9909687555,68.060389328,0.0489211453,983,39
AJ3PQKEe9e74TLCDPBHrwbxNsfEuRyPF1EXQLN4y1Mvj,0.3555517166,1.345799807,0.2641933512,0.4444444444,0.01701268601,5.408440022,-0.8601068341,6.268546856,0.5680541798,31,17
BKQS9c2cqCK7PGJqdCPxoLqRC6r16VM4oVVY2Ek5SVf3,0.3534142022,0.738718397,0.4784160263,0.6571428571,0.01769911505,3.017379959,-0.4528997725,3.470279731,0.5528552091,38,21
GbFEixqXzbxoW5ThovycG9XShZzLMe94bjEhCrgnA5yi,0.3468945049,0.7538285534,0.4601758538,0.64,0.03535487107,2.616030643,-0.7467247164,3.362755359,0.8832201103,86,20
BwnKNxHSNKEFxaniaHnZeHxMmcpg831WuCNgor4w33qC,0.3459384072,1.392475436,0.2484338699,0.5555555556,0.07210100233,3.412440421,-0.7834911316,4.195931552,1.006158406,14,12
BdRCRGv3mpojeyuUpMe8iGq2b7HcnE9ZiPei2XbNNtnU,0.3442195713,0.6947632219,0.4954500356,0.5490196078,0.02515580432,2.325240933,-0.3962169275,2.72145786,0.4016110111,51,25
CSUxJG49TfqqdUrAUbmbQghr8hpUGoRZTXJwaB9hB9vZ,0.3441007085,1.324821533,0.2597333723,0.3243243243,0.06140473084,3.592561825,-0.8733913564,4.465953181,1.436076975,38,10
9GcEzcsGaRxaEnR7zetC1vWfQHrbJsAoHgXDo1Z6Fye,0.3432346564,0.8383176313,0.4094338025,0.6111111111,0.03540438028,3.230440637,-0.6955741418,3.926014779,0.8267198367,84,20
H3syRbMo8zTJBPEBzfaGhUhHYzgZwWJmdksmmWVJA49m,0.3431467707,0.8193070778,0.4188250679,0.5166666667,0.04840041904,3.98912628,-0.5259279249,4.515054205,0.563808906,63,30
F3tr8vwy5tZxiLaMt5ooR3YFaKJY39t4WppLBTQioKUL,0.3355711972,0.5191726382,0.6463585007,0.7428571429,0.04188865533,1.989436318,-0.2309611411,2.220397459,0.4503754407,35,10
HtSKR13nhhJRu41Nqt6cnNNRKDe1NiZZ7y1Z2PHgyXnP,0.3349406926,1.099787049,0.3045501927,0.5641025641,0.02521011511,5.341727751,-0.5972810386,5.939008789,0.5385306223,41,18
