,count,mean,std,min,25%,50%,75%,max
EXPECTED_ROI,7643.0,237651.77323639297,20776546.103276275,-0.8629278384,-0.33297032095,-0.1133065868,-0.00046614800135,1816374021.30213
ROI_STANDARD_DEVIATION,7643.0,1008272.2989147658,88147419.82325742,1.087750524e-13,0.093506500405,0.292820702,0.3965676191,7706222325.94306
SHARPE_RATIO,7643.0,-121.83918897877886,10514.903336624187,-919259.060391529,-0.92609268145,-0.380775323,-0.065975417295,32.713052947
WIN_LOSS_RATIO,7643.0,0.25633058079013943,0.1883541724442341,0.0,0.09090909091,0.25,0.3846153846,1.0
MAX_TRADE_PROPORTION,7643.0,0.15423436016017558,0.19594640248546646,0.0001821339078,0.03206115005,0.08091520465,0.13949203335,0.9999891434
MAX_TOKEN_ROI,7643.0,4277737.010391236,373977829.807146,-0.8356515541,0.0049848124865,0.4212706658,1.2811755150000002,32694732384.0
MIN_TOKEN_ROI,7643.0,-0.6518459657878137,0.3737477960360014,-0.9999997789,-0.8894704476999999,-0.8432292492,-0.5470155677499999,9.416578853
ROI_RANGE,7643.0,4277737.662237196,373977829.8032891,2.398265757e-13,0.3930845638,1.227839597,2.0926883655,32694732384.3147
IQR_ROI,7643.0,0.2628954875131383,0.32643689531556475,3.982661548e-14,0.021533896400000002,0.2253803947,0.4434821604,12.155193991
UNIQUE_TOKENS_TRADED,7643.0,97.24139735705874,260.5797453119197,5.0,19.0,32.0,87.0,13394.0
TRADING_DAYS,7643.0,22.131100353264426,12.774024107264076,10.0,13.0,18.0,27.0,99.0
