,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,MAX_TOKEN_ROI,MIN_TOKEN_ROI,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED
EXPECTED_ROI,1.0,1.0000000000000049,0.00013281453922915778,0.0013026396597803473,-0.006941566323633812,0.999999999999993,0.01031891815527081,1.0000000000000036,-0.004390384046742888,-0.0015471661449684194
ROI_STANDARD_DEVIATION,1.0000000000000049,1.0,0.00013281469353381198,0.0013026282304317333,-0.006941556837487733,0.9999999999999998,0.010318906937342474,0.9999999999999976,-0.004390390222433066,-0.0015471672009106333
SHARPE_RATIO,0.00013281453922915778,0.00013281469353381198,1.0,0.015753997376205635,0.0015070833845183768,0.00013281469176581575,-0.01984795411008681,0.00013281471160293031,0.009288629582444497,0.003949114742106375
WIN_LOSS_RATIO,0.0013026396597803473,0.0013026282304317333,0.015753997376205635,1.0,-0.471285931522456,0.001302628690133985,0.2697300820783669,0.0013026284205832949,0.24868868021535304,0.11625601535742916
MAX_TRADE_PROPORTION,-0.006941566323633812,-0.006941556837487733,0.0015070833845183768,-0.471285931522456,1.0,-0.006941558078469928,-0.15920561504902628,-0.006941557919433881,-0.2787337650021086,-0.19277047092950675
MAX_TOKEN_ROI,0.999999999999993,0.9999999999999998,0.00013281469176581575,0.001302628690133985,-0.006941558078469928,1.0,0.010318906999257221,1.0,-0.004390390561783351,-0.0015471659176868574
MIN_TOKEN_ROI,0.01031891815527081,0.010318906937342474,-0.01984795411008681,0.2697300820783669,-0.15920561504902628,0.010318906999257221,1.0,0.010318905999978766,-0.3038444923510935,-0.13860678471008764
ROI_RANGE,1.0000000000000036,0.9999999999999976,0.00013281471160293031,0.0013026284205832949,-0.006941557919433881,1.0,0.010318905999978766,1.0,-0.0043903902581711495,-0.0015471657791812944
IQR_ROI,-0.004390384046742888,-0.004390390222433066,0.009288629582444497,0.24868868021535304,-0.2787337650021086,-0.004390390561783351,-0.3038444923510935,-0.0043903902581711495,1.0,0.09114415662989804
UNIQUE_TOKENS_TRADED,-0.0015471661449684194,-0.0015471672009106333,0.003949114742106375,0.11625601535742916,-0.19277047092950675,-0.0015471659176868574,-0.13860678471008764,-0.0015471657791812944,0.09114415662989804,1.0
