WALLET_ADDRESS,TOKEN_MINT,TRADE_COUNT,TOTAL_BUY_AMOUNT,TOTAL_SELL_AMOUNT,ROI,FIRST_TRADE_TIME,LAST_TRADE_TIME,HOLDING_PERIOD_MINUTES,BUY_COUNT,SELL_COUNT
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,GSaqwMQh7ggdrTGseMyMvoEoFzS5Mh1w1ZDAKLf6pump,4,0.058811881,0.144566818,1.458122671,2025-02-10 23:58:46.000,2025-02-11 00:33:02.000,35,1,3
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,4c6TomPa9ecQkyaNH4YEz5R2pnHQXYMxW6ajs7iypump,2,0.392079207,0.671330062,0.7122307177,2025-04-07 23:15:57.000,2025-04-08 02:56:50.000,221,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,Bz1Lu8whso2xaD5a2VE9GmSf6yoefApnj9NGNEhLpump,2,0.078415841,0.095483983,0.2176619135,2025-03-24 21:54:35.000,2025-03-25 15:19:58.000,1045,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,8ybV6FpjjN1Sax7n6YMUaNtThGKmnWPbQo6uJQV2pump,2,0.01960396,0.019227155,-0.0192208615,2025-02-14 18:37:09.000,2025-02-14 18:38:30.000,1,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,CjYCtZBLQrSNodeA9ydPn5PQR1PBWtMzBD67tTPypump,2,0.098019801,0.09183066,-0.06314174215,2025-02-01 21:10:37.000,2025-02-01 21:12:30.000,2,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,4cv6kmBc5jfJozLvMfHisGsqhLm1TqiEK2q36B2Cpump,2,0.0490099,0.040770708,-0.1681128099,2025-02-02 01:59:18.000,2025-02-02 01:59:56.000,0,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,G6YbNofmE2MWByuY2Fr7sMgnuE8KskYYeRM2PHHupump,2,0.098019801,0.072520422,-0.2601451823,2025-02-09 04:33:40.000,2025-02-09 04:33:59.000,0,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,CvAyE5rbkcvkfZGMdzE193GxerDvmLWQodkksmMSrhFQ,2,0.0490099,0.032844628,-0.3298368697,2025-02-02 01:21:24.000,2025-02-02 01:22:58.000,1,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,8qnKDNPCfJ6X3xq8e6so288c7eBNfU7JNVHjWumxpump,2,0.01960396,0.012931146,-0.340380923,2025-02-22 07:45:47.000,2025-02-22 07:46:56.000,1,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,FcVcRrgDUTGV47wn7jQBSGBwFCxkhNT8vkBb39Rkpump,2,0.0490099,0.030173588,-0.3843368789,2025-02-02 01:43:09.000,2025-02-02 01:44:39.000,1,1,1
FMXS6AmdBpuePdyGA4vNijJHzMpVEBdifTqSM45eDYTD,5XasBxUCvHUMmukUAUcW75UTXaPQ9xZJmyXp2gk2pump,1,0.0490099,0,-1,2025-02-04 05:16:48.000,2025-02-04 05:16:48.000,0,1,0
﻿
