WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
9TnpnF73PrkzPAmjKRtzEKF8bqPFGCp3J8kQZtWAuFLq,EXITED,1,3.299757476,0.9763344501,3.379740903,0.5,0.5,GAIN_200_TO_500,2,2,0,0,0,1,1,1,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
Apbpuioi2PH7ybZp7kn6wqgReU8jXY2hRwyja7azoHSd,EXITED,1,2.248904964,"null",0,1,0,GAIN_200_TO_500,1,1,0,0,0,1,0,2,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
CKBCCHvbWTd793wpE3yzz78BExJDaAev1y6TYdRUF2bd,EXITED,1,1.416227221,"null",0,1,0,GAIN_100_TO_200,11,1,9,0.8181818182,1,10,0,3,참고: 30% 이상의 토큰이 2025년 1월 이전 구매로 추정됨,참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
3NKFhojqHn8bF3B3wteym3czNj4pZLXqf4gQ7jXHAKX4,ACTIVE,0,0.82963185,"null",0,1,0,GAIN_50_TO_100,2,1,1,0.5,0,2,0,4,참고: 30% 이상의 토큰이 2025년 1월 이전 구매로 추정됨,참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
3jPW1ufyxzHtbQrwAESQYWDGyv4LXzJz2XoQiPyW8Mp4,EXITED,1,0.8260722109,0.9587695325,0.8615962261,0.5,0.5,GAIN_50_TO_100,2,2,0,0,0,1,1,5,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
7i5MeG6HBvxhjy1FpXksC9hzaMpRc3TcWv4fKKhEEvjq,EXITED,1,0.6831116008,0.9988195022,0.6839189657,0.5,0.5,GAIN_50_TO_100,14,2,0,0,13,0,1,6,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
GvYay6pHvmDLKWNnrwjDC7PDxntU5qxNRfV9a1XBUjW9,EXITED,1,0.6287511038,0.7405821883,0.8489957141,0.75,0.25,GAIN_50_TO_100,7,4,0,0,3,3,1,7,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
BtfeFuPoYrGneRvBTCCFkHnVTFB6pQWJwSGrmJFmZ6by,EXITED,1,0.5631634734,0.7572731532,0.743672836,0.6666666667,0.3333333333,GAIN_50_TO_100,3,3,0,0,0,2,1,8,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
DrkcBLDZDzLXVdMppa4sh3wTRHn8jkZ7fvTXceeE2jkK,EXITED,1,0.506719395,0.4620926984,1.096575204,0.6086956522,0.3913043478,GAIN_50_TO_100,46,46,0,0,0,46,0,9,"null","null"
Cwy67sTQsw3fAjqcbgzSgQCNkbDNPQyryeDzr4KAxgcc,EXITED,1,0.4910350215,0.4244820157,1.156786397,0.4545454545,0.5454545455,GAIN_25_TO_50,11,11,0,0,0,11,0,10,"null","null"
